VendorName,TotalSalesDollars,TotalPurchaseDollars,GrossProfit,ProfitMargin,StockTurnover,UnsoldCapital,PurchaseContributionPct
DIAGEO NORTH AMERICA INC,67990099.42,50097226.16,17892873.26,33.01277869113359,1.6521306222359005,9254944.86,16.30034517400385
MARTIGNETTI COMPANIES,39330359.36,25502095.83,13828263.53,43.60439860035792,2.3790871632441886,7024255.57,8.297724176621843
PERNOD RICARD USA,32063196.189999998,23851164.17,8212032.019999999,33.841576392594774,1.5601993122153055,4796732.89,7.7605535989386825
JIM BEAM BRANDS COMPANY,31423020.46,23494304.32,7928716.14,33.929024483142236,2.4337655719135616,4660662.57,7.644440608667222
BACARDI USA INC,24854817.14,17432020.26,7422796.879999999,39.444904371151985,2.878103456527564,2731376.4699999997,5.671929747382014
