VendorName,TotalSalesDollars,TotalPurchaseDollars,GrossProfit,ProfitMargin,StockTurnover,UnsoldCapital,PurchaseContributionPct
TAMWORTH DISTILLING,24540.18,23863.84,676.3400000000001,2.7560515041046973,0.797077922077922,8896.439999999999,0.00776467798705764
WALPOLE MTN VIEW WINERY,11483.880000000001,9292.31,2191.5699999999997,18.596378365526537,0.820547968078008,0.0,0.0030234779861881226
SWEETWATER FARM,21812.01,19716.41,2095.6,12.301416349856181,0.8510474173802915,4470.4,0.006415211244745318
BRONCO WINE COMPANY,2217.1,1748.26,468.8399999999999,21.569329360417377,0.866950585961097,367.53000000000003,0.0005688387090113489
AMERICAN SPIRITS EXCHANGE,1511.16,934.08,577.0799999999998,38.187882156753744,0.875,431.76,0.0003039255381426795
