Description,TotalSalesDollars,GrossProfit,ProfitMargin,StockTurnover
Jack Daniels No 7 Black,7964746.76,2139961.5999999996,26.525491170201974,0.9886575444024365
Tito's Handmade Vodka,7399657.58,1781028.26,28.95363446738052,0.9874212935144232
Grey Goose Vodka,7209608.0600000005,1946003.0899999996,25.413817266773513,0.984473842521664
Capt Morgan Spiced Rum,6356320.62,1733386.1199999999,27.261763602349223,1.0056616628365536
Absolut 80 Proof,6244752.029999999,1599051.9399999995,27.051973257161904,0.9813341323634763
